source,brand,title,price,url,image_url,tags,sales_volume,raw_data,total_count,unit_price
PChome,明亮系列,明亮系列-金盞花萃取物(含葉黃素)複方軟膠囊(100粒/盒),688,https://24h.pchome.com.tw/prod/DBAW1D-A9007SCNW,https://cs-a.ecimg.tw/items/DBAW1DA9007SCNW/000001_1693448355.jpg,💊膠囊,0,明亮系列-金盞花萃取物(含葉黃素)複方軟膠囊(100粒/盒),100.0,6.88
PChome,游離型葉,游離型葉黃素軟膠囊20mg 60粒,749,https://24h.pchome.com.tw/prod/DBBC1E-A900AR3YU,https://cs-a.ecimg.tw/items/DBBC1EA900AR3YU/000001_1768552455.jpg,✅游離型 💊膠囊,0,游離型葉黃素軟膠囊20mg 60粒,60.0,12.48
PChome,明亮系列,明亮系列-金盞花葉黃素Plus蝦紅素軟膠囊(50粒/盒),688,https://24h.pchome.com.tw/prod/DBBB46-A9009YPUF,https://cs-a.ecimg.tw/items/DBBB46A9009YPUF/000001_1766035097.jpg,🦐蝦紅素 🦐舒緩專注 💊膠囊,0,明亮系列-金盞花葉黃素Plus蝦紅素軟膠囊(50粒/盒),50.0,13.76
PChome,專利金盞,專利金盞花葉黃素 軟膠囊 (30粒/盒)6盒組,1290,https://24h.pchome.com.tw/prod/DBAX6Q-A900FU22R,https://cs-a.ecimg.tw/items/DBAX6QA900FU22R/000001_1750234539.jpg,💊膠囊,0,專利金盞花葉黃素 軟膠囊 (30粒/盒)6盒組,180.0,7.17
PChome,專利金盞,專利金盞花葉黃素 軟膠囊 (30粒/盒)3盒組,690,https://24h.pchome.com.tw/prod/DBAX6Q-A900FU1XI,https://cs-a.ecimg.tw/items/DBAX6QA900FU1XI/000001_1750234520.jpg,💊膠囊,0,專利金盞花葉黃素 軟膠囊 (30粒/盒)3盒組,90.0,7.67
PChome,游離型葉,游離型葉黃素+黑醋栗複方錠(30錠/盒),447,https://24h.pchome.com.tw/prod/DBCM1B-A900GXZ6D,https://cs-a.ecimg.tw/items/DBCM1BA900GXZ6D/000001_1764817919.jpg,✅游離型 🫐花青素,0,游離型葉黃素+黑醋栗複方錠(30錠/盒),30.0,14.9
PChome,專利晶澈,專利晶澈葉黃素EX 素食膠囊 (60粒/盒) 3盒組,1975,https://24h.pchome.com.tw/prod/DBBBDF-A900EOHAJ,https://cs-a.ecimg.tw/items/DBBBDFA900EOHAJ/000001_1748879957.jpg,💊膠囊,0,專利晶澈葉黃素EX 素食膠囊 (60粒/盒) 3盒組,180.0,10.97
PChome,EURE,EUREYE葉黃素複方軟膠囊 30粒6入組(德國原裝 游離型.玉米黃素.藍莓(山桑子).維他命A+B2),1515,https://24h.pchome.com.tw/prod/DBBC0N-A900ANIVD,https://cs-a.ecimg.tw/items/DBBC0NA900ANIVD/000001_1751337893.jpg,✅游離型 🫐花青素 🫐夜視守護 💊膠囊,0,EUREYE葉黃素複方軟膠囊 30粒6入組(德國原裝 游離型.玉米黃素.藍莓(山桑子).維他命A+B2),180.0,8.42
PChome,專利晶澈,專利晶澈葉黃素EX 素食膠囊 (60粒/盒),890,https://24h.pchome.com.tw/prod/DBAX6Q-A900BHO08,https://cs-a.ecimg.tw/items/DBAX6QA900BHO08/000001_1715320417.jpg,💊膠囊,0,專利晶澈葉黃素EX 素食膠囊 (60粒/盒),60.0,14.83
PChome,德國 5,德國 50粒葉黃素複方軟膠囊 2入 (50粒/盒),782,https://24h.pchome.com.tw/prod/DFAQ1I-A900J72IS,https://cs-a.ecimg.tw/items/DFAQ1IA900J72IS/000001_1756869197.jpg,💊膠囊,0,德國 50粒葉黃素複方軟膠囊 2入 (50粒/盒),100.0,7.82
PChome,明亮系列,明亮系列-金盞花萃取物(含葉黃素)複方軟膠囊(50粒/盒),375,https://24h.pchome.com.tw/prod/DBAW1D-A9007SD05,https://cs-a.ecimg.tw/items/DBAW1DA9007SD05/000001_1615964515.jpg,💊膠囊,0,明亮系列-金盞花萃取物(含葉黃素)複方軟膠囊(50粒/盒),50.0,7.5
PChome,舒利視金,舒利視金盞花葉黃素 共2盒 (60顆/盒),1100,https://24h.pchome.com.tw/prod/DBBB1Q-A9007GGBP,https://cs-a.ecimg.tw/items/DBBB1QA9007GGBP/000001_1631760999.jpg,,0,舒利視金盞花葉黃素 共2盒 (60顆/盒),120.0,9.17
PChome,高清葉黃素,【高清葉黃素】極致比例葉黃素+獨家消旋玉米黃素+超臨界蝦紅素｜獨家雙重10:2符合國際新實證｜永豐集團,480,https://24h.pchome.com.tw/prod/DFAQ1I-A900IFEHF,https://cs-a.ecimg.tw/items/DFAQ1IA900IFEHF/000001_1741577481.jpg,⚖️10:2比例 🦐蝦紅素 🦐舒緩專注,0,【高清葉黃素】極致比例葉黃素+獨家消旋玉米黃素+超臨界蝦紅素｜獨家雙重10:2符合國際新實證｜永豐集團,,0.0
